geneID	MH	US	GH	AN
GRMZM2G307588	0	0	0	0
GRMZM2G097059	0	1	1	0
GRMZM2G144275	0	0	0	1
GRMZM2G440005	0	1	1	1
GRMZM2G070038	0	0	1	0
GRMZM2G069082	0	0	0	0
GRMZM2G069126	0	0	0	0
GRMZM2G069146	0	0	0	0
GRMZM2G116658	1	1	1	0
GRMZM2G179024	1	1	1	1
AC207722.2_FG009	1	0	1	0
GRMZM2G134797	0	0	0	0
GRMZM2G161611	0	0	0	1
GRMZM2G067624	0	0	0	0
GRMZM2G135790	1	1	0	0
GRMZM2G033885	0	0	0	0
GRMZM2G057281	0	0	0	0
GRMZM2G106548	0	0	0	0
GRMZM2G305211	0	0	0	0
GRMZM2G072506	0	0	0	0
GRMZM2G072280	0	1	0	0
GRMZM2G023444	0	1	0	0
GRMZM2G017016	0	1	0	0
GRMZM2G418899	0	0	0	0
GRMZM2G147716	1	0	1	0
GRMZM2G384528	0	0	1	0
GRMZM2G351482	0	0	0	0
GRMZM2G038303	0	0	0	0
AC211504.4_FG003	0	0	0	0
GRMZM2G037478	0	0	0	0
GRMZM2G104141	0	0	0	0
GRMZM2G301932	0	0	0	1
GRMZM2G301934	0	0	0	0
GRMZM2G019666	0	0	1	0
GRMZM2G009265	0	0	0	0
GRMZM2G025992	0	1	0	0
GRMZM2G348863	0	1	1	0
GRMZM2G348863	0	1	1	0
AC155434.2_FG006	0	0	0	0
GRMZM2G077124	0	0	0	1
GRMZM2G342386	0	0	0	0
GRMZM2G134284	1	1	0	0
GRMZM2G005732	1	0	1	0
GRMZM2G005732	1	0	1	0
GRMZM2G067921	0	0	0	0
GRMZM2G032711	1	0	1	1
GRMZM2G081127	1	1	1	1
GRMZM2G387528	1	1	0	1
GRMZM2G044963	0	0	0	1
GRMZM2G134941	0	0	0	0
GRMZM2G035341	1	0	1	0
GRMZM2G021614	1	0	0	0
GRMZM2G049661	0	0	0	0
GRMZM2G000489	0	0	0	0
GRMZM2G000483	0	0	0	0
GRMZM2G407517	0	0	0	0
GRMZM2G107101	0	0	0	1
AC187157.4_FG005	0	1	1	0
AC187157.4_FG001	0	0	0	0
GRMZM2G359952	0	1	1	1
GRMZM2G373928	0	0	0	1
GRMZM2G372928	0	0	1	1
GRMZM2G076705	0	0	0	0
GRMZM2G038152	0	0	1	0
GRMZM2G012601	1	1	0	1
GRMZM2G051790	1	0	0	1
GRMZM2G159592	0	0	0	0
GRMZM2G155216	0	0	0	1
GRMZM2G020291	1	1	1	0
GRMZM2G023872	0	0	0	1
GRMZM2G162413	0	1	0	0
GRMZM2G002010	0	0	0	0
GRMZM2G125893	1	0	0	0
GRMZM2G055116	0	0	0	0
GRMZM2G128809	0	0	1	1
GRMZM2G074645	1	1	0	1
GRMZM2G098443	0	0	0	0
GRMZM2G126010	1	1	1	0
GRMZM2G132868	0	1	1	0
GRMZM2G152862	0	0	1	0
GRMZM2G471600	1	0	0	0
GRMZM2G082959	0	0	0	0
GRMZM2G016605	0	0	0	0
GRMZM2G109354	1	0	0	0
GRMZM2G101852	0	0	0	1
GRMZM2G064426	0	0	0	1
GRMZM2G132759	0	1	0	0
GRMZM2G161009	0	1	1	0
GRMZM2G140577	1	1	1	0
GRMZM2G005557	0	0	1	0
GRMZM2G004703	1	1	0	1
AC201832.3_FG006	0	0	0	0
AC201832.3_FG006	0	0	0	0
GRMZM2G366873	0	0	0	0
AC209819.3_FG009	0	0	0	0
AC209819.3_FG009	0	0	0	0
GRMZM2G179264	1	1	1	1
GRMZM2G058745	1	1	0	0
GRMZM2G166089	0	0	0	0
vgt1	0	0	0	0
GRMZM2G700665	1	1	1	1
GRMZM2G067985	1	0	0	1
GRMZM2G351977	1	0	0	0
GRMZM2G091276	1	1	0	0
GRMZM2G170412	0	0	1	0
GRMZM2G086088	0	0	0	1
GRMZM2G014066	0	1	1	0
GRMZM2G065538	0	0	0	0
GRMZM2G061602	0	0	0	0
GRMZM2G001139	0	0	0	0
